Неделя,Количество_объектов,Новые_пользователи,Всего_пользователей,Среднее_на_объект,Пользователи_МП,Активные_МП,Проникновение_МП_%,Прирост_объектов,Прирост_всего_пользователей
W16(2024),167.0,330.0,66148.0,396.0958084,560.0,2226.0,3.3651811090282395,,
W17(2024),167.0,307.0,66455.0,397.9341317,240.0,2302.0,3.463998194266797,0.0,307.0
W18(2024),167.0,189.0,66644.0,399.0658683,408.0,16211.0,24.324770421943462,0.0,189.0
W19(2024),167.0,210.0,66854.0,400.3233533,625.0,21559.0,32.247883447512486,0.0,210.0
W20(2024),167.0,255.0,67109.0,401.8502994,1210.0,22707.0,33.835998152259755,0.0,255.0
W21(2024),167.0,261.0,67370.0,403.4131737,295.0,20612.0,30.5952204245213,0.0,261.0
W22(2024),167.0,317.0,67687.0,405.3113772,311.0,23079.0,34.09665076011642,0.0,317.0
W23(2024),167.0,306.0,67993.0,407.1437126,446.0,23202.0,34.12410101039813,0.0,306.0
W24(2024),167.0,295.0,68288.0,408.9101796,518.0,22986.0,33.66037956888472,0.0,295.0
W25(2024),167.0,240.0,68528.0,410.3473054,353.0,22817.0,33.295879056735934,0.0,240.0
W26(2024),167.0,330.0,68858.0,412.3233533,567.0,24335.0,35.34084637950565,0.0,330.0
W27(2024),167.0,293.0,69151.0,414.0778443,426.0,22996.0,33.254761319431395,0.0,293.0
W28(2024),167.0,266.0,69417.0,415.6706587,426.0,22689.0,32.68507714248671,0.0,266.0
W29(2024),167.0,257.0,69674.0,417.2095808,515.0,22610.0,32.451129546172176,0.0,257.0
W30(2024),167.0,297.0,69971.0,418.988024,478.0,23660.0,33.81400866073088,0.0,297.0
W31(2024),167.0,300.0,70271.0,420.7844311,599.0,22812.0,32.462893654565896,0.0,300.0
W32(2024),167.0,234.0,70505.0,422.1856287,517.0,22604.0,32.060137578895116,0.0,234.0
W33(2024),167.0,222.0,70727.0,423.5149701,429.0,22557.0,31.89305357218601,0.0,222.0
W34(2024),157.0,231.0,70958.0,451.9617834,423.0,22953.0,32.34730403900899,-10.0,231.0
W35(2024),163.0,306.0,71264.0,437.202454,509.0,23616.0,33.13875168387966,6.0,306.0
W36(2024),164.0,2707.0,73971.0,451.0426829,946.0,29064.0,39.291073528815346,1.0,2707.0
W37(2024),164.0,340.0,74311.0,453.1158537,584.0,28806.0,38.7641129846187,0.0,340.0
W38(2024),165.0,329.0,74640.0,452.3636364,580.0,28846.0,38.646838156484456,1.0,329.0
W39(2024),166.0,227.0,74867.0,451.0060241,489.0,28681.0,38.30926843602656,1.0,227.0
W40(2024),167.0,570.0,75437.0,451.7185629,791.0,28715.0,38.06487532643133,1.0,570.0
W41(2024),168.0,408.0,75845.0,451.4583333,659.0,29238.0,38.54967367657723,1.0,408.0
W42(2024),169.0,381.0,76226.0,451.0414201,485.0,29656.0,38.90536037572482,1.0,381.0
